単語,出現回数,カテゴリー,ルビ,英語,意味,例文
伝達,8,基本,でんたつ,transmission,相手に情報やメッセージを知らせること。,今日の様子を次のスタッフに伝達します。
拒否,8,基本,きょひ,refusal,相手の頼みや提案を断ること。,利用者がお風呂に入るのを拒否しています。
悪化,8,医療,あっか,deterioration,前よりも状態がさらに悪くなること。,熱が上がって体の具合が悪化しました。
従う,8,基本,したがう,obey,他の人が決めたルールや意見の通りに動くこと。,施設で決めたルールに従って働きます。
期間,8,基本,きかん,period,ある時からある時までの間のこと。,薬を飲む期間は一週間です。
客観的,8,基本,きゃっかんてき,objective,自分の考えを入れず事実だけを見ること。,利用者の様子を客観的に記録します。
成人,8,社会,せいじん,adult,大人の年齢になった人のこと。,日本では18歳から成人になります。
研修,8,基本,けんしゅう,training,仕事のために新しく勉強すること。,新しい車椅子の使い方について研修があります。
自ら,7,基本,みずから,oneself,他の人から言われる前に自分でやること。,利用者が自ら服を着るのを見守ります。
抱える,7,基本,かかえる,hold,問題や荷物などを自分のところに持つこと。,不安を抱えている利用者の話を聞きます。
修正,7,基本,しゅうせい,correction,間違っているところを直すこと。,間違えた記録を正しく修正します。
対象者,7,基本,たいしょうしゃ,subject,サービスや調べることの目的になる人のこと。,このサービスを使う対象者に説明します。
表示,7,基本,ひょうじ,display,知らせたいことを表に出して見せること。,危ない場所には注意の表示があります。
詳しい,7,基本,くわしい,detailed,小さなことまでよく知っていること。,痛いところについて詳しい話を聞きます。
価値,7,基本,かち,value,そのものがどれくらい大切かということ。,利用者が大切にしている価値を理解します。
互い,7,基本,たがい,each other,自分と相手の両方のこと。,スタッフが互いに助け合って仕事をします。
新たな,7,基本,あらたな,new,今までになかった新しい状態のこと。,明日から新たなルールが始まります。
普段,7,基本,ふだん,usually,いつもと同じで特別ではないこと。,普段の様子と違うところをチェックします。
発生,7,基本,はっせい,occurrence,何か新しいことが起こること。,食事のときに問題が発生しました。
不足,7,基本,ふそく,shortage,足りない状態のこと。,体の水分が不足して病気になります。
研究,7,基本,けんきゅう,research,分からないことを深く調べて考えること。,新しい介護のやり方を研究します。
試験,7,基本,しけん,exam,持っている力や知識を調べること。,介護の資格を取るための試験があります。
全て,7,基本,すべて,all,残っているものがなく全部であること。,用意した食事を全て食べ終わりました。
話題,6,基本,わだい,topic,話をしている内容のこと。,家族の話題で利用者が笑います。
禁止,6,基本,きんし,prohibition,してはいけないと決めること。,部屋の中でタバコを吸うのは禁止です。
要する,6,基本,ようする,require,それが必要になること。,この作業はたくさんの時間を要します。
抑える,6,基本,おさえる,suppress,感情や動きなどを大きくならないように止めること。,薬を飲んで熱を抑えます。
否定,6,基本,ひてい,denial,それは違うと言って認めないこと。,利用者の言うことを否定しないで聞きます。
現実,6,基本,げんじつ,reality,頭の中で考えたことではなく今本当にあること。,今の現実を受け入れて生活を支えます。
努力,6,基本,どりょく,effort,目的のために一生懸命に頑張ること。,自分で歩くための努力を応援します。
効果的,6,基本,こうかてき,effective,良い結果がよく出ること。,この運動は足の力をつけるのに効果的です。
