選ぶ,1272,基本,えらぶ,choose,いくつかの中から一つを決めること。,服を自分で選ぶ手伝いをします。
適切,1070,基本,てきせつ,appropriate,その時の状態にちょうど合っていること。,車椅子の適切な使い方を教えます。
最も,929,基本,もっとも,most,一番そうだということ。,最も安全な方法を考えます。
記述,551,基本,きじゅつ,description,文章で書いて説明すること。,今日の記録に記述します。
利用者,527,介護,りようしゃ,user,サービスを使う人のこと。,利用者の部屋を掃除します。
利用,302,介護,りよう,use,役立つように使うこと。,デイサービスの利用を始めます。
対応,211,介護,たいおう,response,相手の様子を見て何かをすること。,急な病気の対応をします。
使用,154,基本,しよう,use,ものを使うこと。,お風呂で新しい石鹸を使用します。
支援,511,介護,しえん,support,できないことを助けること。,一人で歩くための支援をします。
必要,135,基本,ひつよう,necessary,なくてはならないこと。,外出には帽子が必要です。
相談,168,社会,そうだん,consultation,どうすればいいかほかの人と話すこと。,家族と生活について相談します。
正しい,152,基本,ただしい,correct,間違いがないこと。,正しい歩き方を伝えます。
確認,107,基本,かくにん,confirmation,はっきりと確かめること。,薬を飲んだか確認します。
説明,97,基本,せつめい,explanation,わかるように話すこと。,新しい薬の飲み方を説明します。
入所,193,社会,にゅうしょ,admission,施設に入って生活すること。,今日から施設に入所します。
高齢者,151,社会,こうれいしゃ,elderly,お年寄りのこと。,地域の高齢者と一緒に歌います。
障害,335,医療,しょうがい,disability,体や心に不便なところがあること。,耳に障害がある人と話します。
状態,117,医療,じょうたい,condition,今の体や心の様子のこと。,朝の健康の状態をみます。
施設,210,社会,しせつ,facility,お年寄りや困っている人が生活する建物のこと。,新しい施設で働きます。
症状,102,医療,しょうじょう,symptom,病気やけがの様子のこと。,風邪の症状があるか聞きます。
作成,76,基本,さくせい,creation,新しいものを作ること。,明日の予定表を作成します。
最近,83,基本,さいきん,recently,少し前から今までのこと。,最近よくご飯を食べます。
低下,109,医療,ていか,decline,力などが低くなること。,足の力が低下しています。
様子,72,介護,ようす,appearance,今の状態や見え方のこと。,夜に眠る様子を記録します。
促す,73,介護,うながす,encourage,何かをするようにすすめること。,トイレに行くように促します。
診断,79,医療,しんだん,diagnosis,医者が病気の名前を決めること。,病院で認知症の診断を受けます。
参加,77,社会,さんか,participation,集まりの中に入ること。,秋のお祭りに参加します。
場合,70,基本,ばあい,case,ある時や状態のこと。,熱がある場合は休みます。
優先,50,介護,ゆうせん,priority,ほかのことより先にすること。,安全を優先して手伝います。
希望,62,介護,きぼう,hope,こうなってほしいと願うこと。,本人の希望を聞いて決めます。
示す,43,基本,しめす,show,ほかの人に見せてわからせること。,新しい車椅子の使い方を示します。
居室,54,介護,きょしつ,room,利用者が生活している部屋のこと。,利用者の居室を掃除します。
内容,83,基本,ないよう,content,その中にあるものや話のこと。,今日の会議の内容を記録します。
生じる,39,基本,しょうじる,occur,新しいことや問題が起こること。,新しい問題が生じます。
変更,42,基本,へんこう,change,決まっていたことを変えること。,お風呂の時間を変更します。
排泄,65,介護,はいせつ,excretion,トイレでおしっこやうんちをすること。,トイレでの排泄を手伝います。
助言,56,介護,じょげん,advice,どうすればいいか良い方法を教えること。,食事のやり方について助言します。
該当,46,基本,がいとう,correspond,条件やルールにぴったり合うこと。,このルールに該当するか調べます。
状況,63,基本,じょうきょう,situation,今のまわりの様子のこと。,家族に今の状況を話します。
基づく,45,基本,もとづく,base,何かを考えるときの基本にすること。,計画に基づく介護をします。
活用,42,介護,かつよう,utilization,持っているものをうまく使うこと。,車椅子を活用して外に出ます。
設定,35,基本,せってい,setting,新しくルールや目標を決めること。,リハビリの目標を設定します。
検討,43,基本,けんとう,consideration,良いかどうかよく考えること。,もっと安全な方法を検討します。
担当,44,基本,たんとう,charge,自分がやるべき仕事をすること。,今日のお風呂を担当します。
提供,72,介護,ていきょう,provision,相手が必要なものをあげること。,食事のサービスを提供します。
地域,137,社会,ちいき,region,人が生活しているまわりの場所のこと。,地域の集まりに参加します。
影響,29,基本,えいきょう,influence,ほかのものに力をあたえて変えること。,薬が体に影響します。
自立,113,介護,じりつ,independence,ほかの人に頼らず自分でやること。,自分で歩くための自立を助けます。
実現,36,基本,じつげん,realization,考えていたことを本当のことにすること。,家に帰る希望を実現します。
困難,42,基本,こんなん,difficulty,とても難しくて大変なこと。,一人で服を着るのが困難です。
同意,29,社会,どうい,consent,ほかの人の考えに賛成すること。,家族がサービスを使うことに同意します。
設置,37,基本,せっち,installation,機械や道具を置いて使えるようにすること。,部屋に新しいベッドを設置します。
目標,77,基本,もくひょう,goal,そこまで頑張ろうと決めた場所や状態のこと。,一人で歩くことを目標にします。
役割,32,社会,やくわり,role,自分がしなければならない仕事のこと。,地域での役割を考えます。
評価,44,介護,ひょうか,evaluation,良いかどうかを調べて決めること。,先月の介護の計画を評価します。
応じる,4,基本,おうじる,respond,相手の希望に合わせてすること。,利用者の希望に応じます。
訴える,37,医療,うったえる,complain,痛いことや困っていることを人に話すこと。,お腹が痛いと訴えます。
変化,38,基本,へんか,change,前の状態から違う状態になること。,熱や体の変化に気をつけます。
進行,37,医療,しんこう,progression,病気などが前に進んでひどくなること。,病気の進行を遅らせます。
理由,34,基本,りゆう,reason,どうしてそうなったかということ。,ご飯を食べない理由を聞きます。
方法,58,基本,ほうほう,method,何かをするためのやり方のこと。,新しい掃除の方法を教えます。
準備,30,基本,じゅんび,preparation,次にすることのために用意すること。,お風呂の準備をします。
意向,26,介護,いこう,intention,その人がどうしたいかという考えのこと。,本人の意向を聞いて計画を作ります。
継続,32,基本,けいぞく,continuation,同じことをやめずに続けること。,リハビリを毎日継続します。
報告,44,基本,ほうこく,report,わかったことやしたことをほかの人に伝えること。,今日の様子を家族に報告します。
職員,69,社会,しょくいん,staff,施設や病院で働く人のこと。,施設の職員と一緒に働きます。
改善,30,介護,かいぜん,improvement,悪いところを直して良くすること。,ベッドのまわりの環境を改善します。
特徴,29,基本,とくちょう,feature,ほかのものと違う目立つところのこと。,この薬の特徴を覚えます。
職種,34,社会,しょくしゅ,occupation,仕事の種類の名前のこと。,いろいろな職種の人が一緒に働きます。
総合的,23,介護,そうごうてき,comprehensive,いろいろなものを全部合わせて考えること。,総合的な計画を作ります。
連携,32,社会,れんけい,cooperation,ほかの人や場所と一緒に協力してやること。,病院と連携して手伝います。
対象,27,基本,たいしょう,target,あることをする相手やもののこと。,このサービスを使う対象の人です。
結果,37,基本,けっか,result,何かをしたあとに残ったもののこと。,リハビリをした結果が良くなりました。
誤る,0,基本,あやまる,mistake,正しくないことや間違えること。,薬の時間を誤らないようにします。
調整,23,基本,ちょうせい,adjustment,ちょうどよくなるように直すこと。,ベッドの高さを調整します。
観察,28,医療,かんさつ,observation,よく見て様子を知ること。,顔の色をよく観察します。
発達,40,医療,はったつ,development,体や心が大きくなっていくこと。,子供のからだの発達について勉強します。
解決,20,基本,かいけつ,solution,問題がなくなって良い状態になること。,困っている問題を解決します。
予防,60,医療,よぼう,prevention,病気や悪いことが起きないようにすること。,風邪の予防のために手を洗います。
同居,26,社会,どうきょ,cohabitation,同じ家で一緒に住むこと。,家族と同居しています。
発言,24,基本,はつげん,remark,自分の考えをみんなに話すこと。,会議で新しいアイデアを発言します。
保護,25,社会,ほご,protection,弱い人や物を守ること。,お年寄りの生活を保護します。
意思,36,介護,いし,will,自分が何をしたいかという考えのこと。,自分の意思でご飯を食べます。
指示,29,基本,しじ,instruction,何をすればいいかほかの人に教えること。,リーダーの指示を聞いて動きます。
申請,24,社会,しんせい,application,書類を出してお願いすること。,新しいサービスを使う申請をします。
負担,48,介護,ふたん,burden,重くて大変なことやお金を払うこと。,家族の介護の負担を減らします。
