訪問,264,基本,ほうもん,visit,誰かの家に行くこと。,利用者の家を訪問します。
給付,43,社会,きゅうふ,provision,国や市がお金やサービスを渡すこと。,介護保険からお金が給付されます。
表情,39,介護,ひょうじょう,expression,顔の形や様子で気持ちを表すこと。,利用者の表情をよく見ます。
認知,34,医療,にんち,cognition,物事を正しく理解してわかること。,認知の機能が落ちてきます。
購入,17,基本,こうにゅう,purchase,お金を払って物を買うこと。,車いすを購入します。
できるだけ,15,基本,できるだけ,preferably,無理をしないでできる範囲でやること。,できるだけ自分で歩いてもらいます。
固定,15,介護,こてい,fixation,動かないようにしっかり止めること。,車いすのタイヤを固定します。
身体的,15,医療,しんたいてき,physical,体に関係していること。,身体的な負担を減らします。
療養,13,医療,りょうよう,recuperation,病気やけがを治すために休むこと。,病院で療養します。
個人情報,20,社会,こじんじょうほう,privacy,個人の名前や住所などの大切な情報のこと。,個人情報を大切に守ります。
心身,18,医療,しんしん,mind and body,心と体のこと。,心身の健康を大切にします。
体調不良,7,医療,たいちょうふりょう,unwell,体の具合が悪いこと。,利用者が体調不良をうったえます。
配置,11,社会,はいち,placement,人や物を決まった場所に置くこと。,施設に職員を配置します。
経済的,11,社会,けいざいてき,economic,お金に関係していること。,経済的な問題について相談します。
精神的,10,医療,せいしんてき,mental,心に関係していること。,精神的なストレスに注意します。
正常,11,医療,せいじょう,normal,いつもと同じで問題がないこと。,血圧は正常です。
一部,10,基本,いちぶ,part,全体の中の少しのところのこと。,ご飯を一部だけ残しました。
長期,10,基本,ちょうき,long-term,長い期間のこと。,施設で長期の生活をします。
口調,10,介護,くちょう,tone,話すときの声の調子や言い方のこと。,優しい口調で話しかけます。
緊張,10,医療,きんちょう,tension,心や体が固くなってリラックスできないこと。,利用者の緊張をほぐします。
精神,10,医療,せいしん,mind,心や気持ちのこと。,精神の病気について勉強します。
食欲,9,医療,しょくよく,appetite,食べたいと思う気持ちのこと。,利用者の食欲がありません。
清潔,9,介護,せいけつ,cleanliness,汚れがなくてきれいなこと。,体を清潔に保ちます。
きっかけ,9,基本,きっかけ,trigger,何かが始まる原因や理由のこと。,これがきっかけで散歩を始めました。
支給,8,社会,しきゅう,payment,決まったお金や物を渡すこと。,車いすのお金が支給されます。
疎通,8,介護,そつう,communication,自分の考えが相手に正しく伝わること。,利用者と意思の疎通をします。
混乱,8,医療,こんらん,confusion,頭の中がわからなくなってパニックになること。,利用者が混乱して怒ります。
急速,8,基本,きゅうそく,rapid,とても速いこと。,具合が急速に悪くなります。
療法,8,医療,りょうほう,therapy,病気やけがを治すための方法のこと。,音楽を使った療法を行います。
残存,8,医療,ざんぞん,residual,まだ残っていること。,残存する力をいかして生活します。
寂しい,8,介護,さびしい,lonely,一人でいて心が悲しくなること。,利用者が寂しい気持ちを話します。
許可,8,基本,きょか,permission,してもいいと言われること。,家族から許可をもらいます。
